"locus"	"symbol"	"name"	"Length"	"observed"	"expected"	"Gscore"	"Nframeshift"	"Nsynonymous"
"1109"	"DVU_1083"	"phoB"	"phosphate regulon transcriptional regulator PhoB"	"690"	"1"	"0.0258178909293686"	"7.36435563455345"	"0"	"0"
"2366"	"DVU_2313"	"pgl"	"6-phosphogluconolactonase"	"750"	"1"	"0.0280629249232268"	"7.20196469547684"	"1"	"0"
"736"	"DVU_0713"	""	"branched-chain amino acid ABC transporter permease"	"906"	"1"	"0.0339000133072579"	"6.83535588906554"	"1"	"0"
"177"	"DVU_0168"	""	"oligopeptide/dipeptide ABC transporter permease"	"978"	"1"	"0.0365940540998877"	"6.68761979770534"	"0"	"0"
"3316"	"DVU_3233"	"flhB"	"flagellar biosynthesis protein FlhB"	"1074"	"1"	"0.0401861084900607"	"6.50726710128053"	"1"	"0"
"820"	"DVU_0796"	"hisD"	"histidinol dehydrogenase"	"1311"	"1"	"0.0490539927658004"	"6.12544498624325"	"0"	"0"
"3462"	"DVU_3376"	""	"sulfatase"	"1575"	"1"	"0.0589321423387762"	"5.77725922857836"	"1"	"0"
"2524"	"DVU_2464"	""	"hypothetical protein"	"1584"	"1"	"0.059268897437855"	"5.76649911295962"	"0"	"0"
"1829"	"DVU_1788"	"rpoD"	"RNA polymerase sigma-70 factor"	"1773"	"1"	"0.0663407545185081"	"5.55436760766222"	"0"	"0"
"418"	"DVU_0398"	""	"HMGL-like domain-containing protein"	"1827"	"1"	"0.0683612851129804"	"5.49814917398172"	"0"	"0"
"1043"	"DVU_1017"	""	"ABC transporter ATP-binding protein/permease"	"2331"	"1"	"0.0872195706613888"	"5.04590024745518"	"1"	"0"
"2402"	"DVU_2349"	""	"carbohydrate phosphorylase"	"2568"	"1"	"0.0960874549371285"	"4.86848698655504"	"0"	"0"
"1874"	"DVU_1833"	""	"phosphoenolpyruvate synthase"	"3576"	"1"	"0.133804026033945"	"4.27391483124683"	"0"	"0"
"2"	"DVU_0002"	"dnaN"	"DNA polymerase III subunit beta"	"1155"	"0"	"0.0432169043817692"	"0"	"0"	"0"
"3"	"DVU_0003"	"gyrB"	"DNA gyrase subunit B"	"2397"	"0"	"0.0896891080546328"	"0"	"0"	"0"
"4"	"DVU_0004"	"gyrA"	"DNA gyrase subunit A"	"2571"	"0"	"0.0961997066368214"	"0"	"0"	"0"
"5"	"DVU_0005"	""	"lipoprotein"	"786"	"0"	"0.0294099453195417"	"0"	"0"	"0"
"6"	"DVU_0006"	""	"universal stress protein"	"465"	"0"	"0.0173990134524006"	"0"	"0"	"0"
"7"	"DVU_0007"	"asnC"	"asparaginyl-tRNA synthetase"	"1386"	"0"	"0.0518602852581231"	"0"	"0"	"0"
"8"	"DVU_0008"	""	"hypothetical protein"	"126"	"0"	"0.0047145713871021"	"0"	"0"	"0"
"9"	"DVU_0009"	""	"TRAP C4-dicarboxylate transport system permease DctM"	"1281"	"0"	"0.0479314757688713"	"0"	"0"	"0"
"10"	"DVU_0010"	""	"TRAP C4-dicarboxylate transport system subunit DctQ"	"567"	"0"	"0.0212155712419594"	"0"	"0"	"0"
"11"	"DVU_0011"	""	"TRAP dicarboxylate family transporter subunit DctP"	"1026"	"0"	"0.0383900812949742"	"0"	"0"	"0"
"12"	"DVU_0012"	""	"hypothetical protein"	"1203"	"0"	"0.0450129315768557"	"0"	"0"	"0"
"14"	"DVU_0014"	"infA"	"translation initiation factor IF-1"	"219"	"0"	"0.00819437407758222"	"0"	"0"	"0"
"15"	"DVU_0015"	"lgt"	"prolipoprotein diacylglyceryl transferase"	"792"	"0"	"0.0296344487189275"	"0"	"0"	"0"
"16"	"DVU_0016"	""	"hypothetical protein"	"105"	"0"	"0.00392880948925175"	"0"	"0"	"0"
"17"	"DVU__tRNA-Ala-1"	""	"tRNA-Ala"	"76"	"0"	"0.00284370972555365"	"0"	"0"	"0"
"18"	"DVU_0017"	""	"hypothetical protein"	"177"	"0"	"0.00662285028188152"	"0"	"0"	"0"
"19"	"DVU_0018"	""	"methyl-accepting chemotaxis protein"	"2250"	"0"	"0.0841887747696803"	"0"	"0"	"0"
"20"	"DVU_0019"	"ngr"	"nigerythrin"	"609"	"0"	"0.0227870950376601"	"0"	"0"	"0"
"21"	"DVU_0020"	""	"hypothetical protein"	"147"	"0"	"0.00550033328495245"	"0"	"0"	"0"
"22"	"DVU_0021"	""	"hypothetical protein"	"1047"	"0"	"0.0391758431928246"	"0"	"0"	"0"
"23"	"DVU_0022"	""	"HAMP domain/GGDEF domain/EAL domain-containing protein"	"2382"	"0"	"0.0891278495561682"	"0"	"0"	"0"
"24"	"DVU_0023"	""	"hypothetical protein"	"198"	"0"	"0.00740861217973187"	"0"	"0"	"0"
"25"	"DVU_0024"	""	"hypothetical protein"	"171"	"0"	"0.00639834688249571"	"0"	"0"	"0"
"26"	"DVU_0025"	""	"sensory box histidine kinase"	"2160"	"0"	"0.0808212237788931"	"0"	"0"	"0"
"27"	"DVU__tRNA-Ala-2"	""	"tRNA-Ala"	"76"	"0"	"0.00284370972555365"	"0"	"0"	"0"
"28"	"DVU_0026"	""	"hypothetical protein"	"573"	"0"	"0.0214400746413453"	"0"	"0"	"0"
"29"	"DVU_0027"	""	"hypothetical protein"	"1425"	"0"	"0.0533195573541309"	"0"	"0"	"0"
"30"	"DVU_0028"	"csaA"	"chaperone CsaA"	"378"	"0"	"0.0141437141613063"	"0"	"0"	"0"
"31"	"DVU_0029"	""	"hydantoinase/oxoprolinase"	"1713"	"0"	"0.06409572052465"	"0"	"0"	"0"
"32"	"DVU_4013"	""	"hypothetical protein"	"198"	"0"	"0.00740861217973187"	"0"	"0"	"0"
"33"	"DVU_0030"	""	"GntR family transcriptional regulator"	"1503"	"0"	"0.0562381015461465"	"0"	"0"	"0"
"34"	"DVU_0031"	""	"AzlC family protein"	"987"	"0"	"0.0369308091989664"	"0"	"0"	"0"
"36"	"DVU_0033"	""	"isochorismatase"	"615"	"0"	"0.023011598437046"	"0"	"0"	"0"
"37"	"DVU_0034"	""	"DSBA-like thioredoxin domain-containing protein"	"786"	"0"	"0.0294099453195417"	"0"	"0"	"0"
"38"	"DVU_0035"	""	"hypothetical protein"	"174"	"0"	"0.00651059858218861"	"0"	"0"	"0"
"39"	"DVU_0036"	""	"hypothetical protein"	"456"	"0"	"0.0170622583533219"	"0"	"0"	"0"
"40"	"DVU_0037"	""	"hypothetical protein"	"417"	"0"	"0.0156029862573141"	"0"	"0"	"0"
"41"	"DVU_0038"	""	"acyltransferase domain-containing protein"	"1851"	"0"	"0.0692592987105237"	"0"	"0"	"0"
"42"	"DVU_0039"	""	"C4-type zinc finger DksA/TraR family protein"	"531"	"0"	"0.0198685508456446"	"0"	"0"	"0"
"43"	"DVU_0040"	""	"hypothetical protein"	"615"	"0"	"0.023011598437046"	"0"	"0"	"0"
"44"	"DVU_0041"	""	"Slt family transglycosylase"	"1764"	"0"	"0.0660039994194294"	"0"	"0"	"0"
"45"	"DVU_0042"	""	"RNA methyltransferase"	"1152"	"0"	"0.0431046526820763"	"0"	"0"	"0"
"46"	"DVU_0043"	"fliQ"	"flagellar biosynthetic protein FliQ"	"270"	"0"	"0.0101026529723616"	"0"	"0"	"0"
"47"	"DVU_0044"	"fliP"	"flagellar biosynthesis protein FliP"	"708"	"0"	"0.0264914011275261"	"0"	"0"	"0"
"48"	"DVU_0045"	""	"flagellar biosynthesis protein, FliO"	"522"	"0"	"0.0195317957465658"	"0"	"0"	"0"
"49"	"DVU_0046"	"fliN"	"flagellar motor switch protein FliN"	"513"	"0"	"0.0191950406474871"	"0"	"0"	"0"
"50"	"DVU_0047"	""	"flagellar protein FliL"	"516"	"0"	"0.01930729234718"	"0"	"0"	"0"
"51"	"DVU_0048"	""	"chemotaxis protein MotB"	"741"	"0"	"0.0277261698241481"	"0"	"0"	"0"
"52"	"DVU_0049"	""	"OmpA family protein"	"1095"	"0"	"0.0409718703879111"	"0"	"0"	"0"
"53"	"DVU_0050"	"motA-1"	"chemotaxis protein MotA"	"759"	"0"	"0.0283996800223055"	"0"	"0"	"0"
"54"	"DVU_0051"	""	"hypothetical protein"	"729"	"0"	"0.0272771630253764"	"0"	"0"	"0"
"55"	"DVU_0052"	"era"	"GTP-binding protein Era"	"927"	"0"	"0.0346857752051083"	"0"	"0"	"0"
"56"	"DVU_0053"	""	"sulfate permease"	"2037"	"0"	"0.0762189040914839"	"0"	"0"	"0"
"57"	"DVU_0054"	""	"dihydrouridine synthase"	"1260"	"0"	"0.047145713871021"	"0"	"0"	"0"
"58"	"DVU_0055"	"ispH"	"hydroxymethylbutenyl pyrophosphate reductase"	"873"	"0"	"0.032665244610636"	"0"	"0"	"0"
"59"	"DVU_0056"	"cheV-1"	"chemotaxis protein CheV"	"954"	"0"	"0.0356960405023445"	"0"	"0"	"0"
"60"	"DVU_0057"	""	"TetR family transcriptional regulator"	"642"	"0"	"0.0240218637342821"	"0"	"0"	"0"
"61"	"DVU_0058"	""	"RND family efflux transporter MFP subunit"	"1152"	"0"	"0.0431046526820763"	"0"	"0"	"0"
"62"	"DVU_0059"	""	"AcrB/AcrD/AcrF family protein"	"3711"	"0"	"0.138855352520126"	"0"	"0"	"0"
"63"	"DVU_0060"	""	"RND family efflux transporter MFP subunit"	"1185"	"0"	"0.0443394213786983"	"0"	"0"	"0"
"64"	"DVU_0061"	""	"multidrug resistance protein"	"3141"	"0"	"0.117527529578474"	"0"	"0"	"0"
"65"	"DVU_0062"	""	"RND efflux system outer membrane lipoprotein"	"1515"	"0"	"0.0566871083449181"	"0"	"0"	"0"
"66"	"DVU_0063"	""	"MarR family transcriptional regulator"	"441"	"0"	"0.0165009998548573"	"0"	"0"	"0"
"67"	"DVU_0064"	""	"hypothetical protein"	"909"	"0"	"0.0340122650069509"	"0"	"0"	"0"
"68"	"DVU_0065"	""	"hypothetical protein"	"798"	"0"	"0.0298589521183133"	"0"	"0"	"0"
"69"	"DVU_0066"	""	"cytidine/deoxycytidylate deaminase domain-containing protein"	"570"	"0"	"0.0213278229416524"	"0"	"0"	"0"
"70"	"DVU_0067"	""	"hypothetical protein"	"309"	"0"	"0.0115619250683694"	"0"	"0"	"0"
"71"	"DVU_0068"	""	"hypothetical protein"	"1536"	"0"	"0.0574728702427684"	"0"	"0"	"0"
"72"	"DVU_0069"	""	"hypothetical protein"	"4404"	"0"	"0.164785495149188"	"0"	"0"	"0"
"73"	"DVU_0070"	""	"Ser/Thr protein phosphatase"	"1356"	"0"	"0.050737768261194"	"0"	"0"	"0"
"74"	"DVU_0071"	"dinP"	"DNA polymerase IV"	"1161"	"0"	"0.0434414077811551"	"0"	"0"	"0"
"75"	"DVU_0072"	""	"glucose-1-phosphate cytidylyltransferase"	"780"	"0"	"0.0291854419201558"	"0"	"0"	"0"
"76"	"DVU_0073"	""	"CDP-glucose-4,6-dehydratase"	"1107"	"0"	"0.0414208771866827"	"0"	"0"	"0"
"77"	"DVU_0074"	""	"polysaccharide biosynthesis domain-containing protein"	"444"	"0"	"0.0166132515545503"	"0"	"0"	"0"
"78"	"DVU_0075"	""	"aminotransferase"	"1134"	"0"	"0.0424311424839189"	"0"	"0"	"0"
"79"	"DVU_0076"	""	"glycosyl transferase group 2 family protein"	"1038"	"0"	"0.0388390880937459"	"0"	"0"	"0"
"80"	"DVU_0077"	""	"hypothetical protein"	"1083"	"0"	"0.0405228635891395"	"0"	"0"	"0"
"81"	"DVU_0078"	""	"hypothetical protein"	"342"	"0"	"0.0127966937649914"	"0"	"0"	"0"
"82"	"DVU_0079"	""	"ZIP zinc transporter family protein"	"804"	"0"	"0.0300834555176991"	"0"	"0"	"0"
"83"	"DVU_0080"	"fumC"	"fumarate hydratase"	"1407"	"0"	"0.0526460471559734"	"0"	"0"	"0"
"84"	"DVU_0081"	""	"sensory box histidine kinase/response regulator"	"1731"	"0"	"0.0647692307228074"	"0"	"0"	"0"
"85"	"DVU_0082"	""	"hypothetical protein"	"1593"	"0"	"0.0596056525369337"	"0"	"0"	"0"
"86"	"DVU_0083"	""	"hypothetical protein"	"420"	"0"	"0.015715237957007"	"0"	"0"	"0"
"87"	"DVU_0084"	""	"aIF-2BI family translation initiation factor"	"1053"	"0"	"0.0394003465922104"	"0"	"0"	"0"
"88"	"DVU_0085"	"trpB-1"	"tryptophan synthase subunit beta"	"1245"	"0"	"0.0465844553725564"	"0"	"0"	"0"
"89"	"DVU_0086"	""	"hypothetical protein"	"222"	"0"	"0.00830662577727513"	"0"	"0"	"0"
"90"	"Dv16SA"	"rrsA"	"16S ribosomal RNA"	"1541"	"0"	"0.0576599564089233"	"0"	"0"	"0"
"91"	"DVU__tRNA-Ile-1"	""	"tRNA-Ile"	"77"	"0"	"0.00288112695878462"	"0"	"0"	"0"
"92"	"DVU__tRNA-Ala-3"	""	"tRNA-Ala"	"76"	"0"	"0.00284370972555365"	"0"	"0"	"0"
"93"	"Dv23SA"	"rrlA"	"23S ribosomal RNA"	"2921"	"0"	"0.109295738267661"	"0"	"0"	"0"
"94"	"Dv5SA"	"rrfA"	"5S ribosomal RNA"	"117"	"0"	"0.00437781628802338"	"0"	"0"	"0"
"95"	"DVU_0087"	""	"hypothetical protein"	"495"	"0"	"0.0185215304493297"	"0"	"0"	"0"
"96"	"DVU_0088"	"panF"	"sodium/panthothenate symporter"	"1488"	"0"	"0.0556768430476819"	"0"	"0"	"0"
"97"	"DVU_0089"	""	"hypothetical protein"	"804"	"0"	"0.0300834555176991"	"0"	"0"	"0"
"98"	"DVU_0090"	"wcaG"	"GDP-fucose synthetase"	"972"	"0"	"0.0363695507005019"	"0"	"0"	"0"
"99"	"DVU_0091"	""	"hypothetical protein"	"723"	"0"	"0.0270526596259906"	"0"	"0"	"0"
"100"	"DVU_0092"	""	"sensory box histidine kinase"	"3318"	"0"	"0.124150379860355"	"0"	"0"	"0"
"101"	"DVU_0093"	""	"glycosyl transferase domain-containing protein"	"2451"	"0"	"0.0917096386491051"	"0"	"0"	"0"
"102"	"DVU_0094"	""	"methyl-accepting chemotaxis protein"	"2163"	"0"	"0.080933475478586"	"0"	"0"	"0"
"103"	"DVU_0095"	""	"polyamine ABC transporter periplasmic polyamine-binding protein"	"1038"	"0"	"0.0388390880937459"	"0"	"0"	"0"
"104"	"DVU_0096"	"potC"	"spermidine/putrescine ABC transporter"	"774"	"0"	"0.02896093852077"	"0"	"0"	"0"
"105"	"DVU_0097"	"potB"	"polyamine ABC transporter permease"	"888"	"0"	"0.0332265031091005"	"0"	"0"	"0"
"106"	"DVU_0098"	"potA"	"putrescine/spermidine ABC transporter ATPase"	"1107"	"0"	"0.0414208771866827"	"0"	"0"	"0"
"107"	"DVU_0099"	""	"TonB domain-containing protein"	"1161"	"0"	"0.0434414077811551"	"0"	"0"	"0"
"108"	"DVU_0100"	""	"TonB-dependent receptor"	"1950"	"0"	"0.0729636048003896"	"0"	"0"	"0"
"109"	"DVU_0101"	""	"UbiE/COQ5 family methlytransferase"	"1527"	"0"	"0.0571361151436897"	"0"	"0"	"0"
"110"	"DVU_0102"	""	"cation ABC transporter periplasmic binding protein"	"993"	"0"	"0.0371553125983523"	"0"	"0"	"0"
"111"	"DVU_0103"	""	"cation ABC transporter ATP-binding protein"	"942"	"0"	"0.0352470337035728"	"0"	"0"	"0"
"112"	"DVU_0104"	""	"cation ABC transporter permease"	"837"	"0"	"0.0313182242143211"	"0"	"0"	"0"
"113"	"DVU_0105"	""	"glutamine ABC transporter ATP-binding protein"	"735"	"0"	"0.0275016664247622"	"0"	"0"	"0"
"114"	"DVU_0106"	"glnP"	"glutamine ABC transporter permease"	"672"	"0"	"0.0251443807312112"	"0"	"0"	"0"
"115"	"DVU_0107"	"glnH"	"glutamine ABC transporter periplasmic glutamine-binding protein"	"750"	"0"	"0.0280629249232268"	"0"	"0"	"0"
"116"	"DVU_0108"	""	"hypothetical protein"	"108"	"0"	"0.00404106118894466"	"0"	"0"	"0"
"117"	"DVU_0109"	""	"sensor histidine kinase"	"1233"	"0"	"0.0461354485737848"	"0"	"0"	"0"
"118"	"DVU_0110"	""	"sigma-54 dependent transcriptional regulator/response regulator"	"1431"	"0"	"0.0535440607535167"	"0"	"0"	"0"
"119"	"DVU_0111"	""	"response regulator"	"807"	"0"	"0.030195707217392"	"0"	"0"	"0"
"120"	"DVU_0112"	""	"deoxyribodipyrimidine photolyase"	"1425"	"0"	"0.0533195573541309"	"0"	"0"	"0"
"121"	"DVU_0113"	"hisI"	"phosphoribosyl-AMP cyclohydrolase"	"381"	"0"	"0.0142559658609992"	"0"	"0"	"0"
"122"	"DVU_0114"	"hisG"	"ATP phosphoribosyltransferase"	"882"	"0"	"0.0330019997097147"	"0"	"0"	"0"
"123"	"DVU_0115"	"aroE"	"shikimate 5-dehydrogenase"	"906"	"0"	"0.0339000133072579"	"0"	"0"	"0"
"124"	"DVU_0116"	""	"polysaccharide deacetylase"	"1077"	"0"	"0.0402983601897537"	"0"	"0"	"0"
"125"	"DVU_0117"	""	"glycosyl transferase group 2 family protein"	"918"	"0"	"0.0343490201060296"	"0"	"0"	"0"
"126"	"DVU_0118"	""	"sigma-54 dependent transcriptional regulator/response regulator"	"1365"	"0"	"0.0510745233602727"	"0"	"0"	"0"
"127"	"DVU_0119"	""	"sensor histidine kinase"	"1665"	"0"	"0.0622996933295634"	"0"	"0"	"0"
"128"	"DVU_0120"	""	"ABC transporter substrate-binding protein"	"939"	"0"	"0.0351347820038799"	"0"	"0"	"0"
"129"	"DVU_0121"	""	"hypothetical protein"	"444"	"0"	"0.0166132515545503"	"0"	"0"	"0"
"130"	"DVU_0122"	""	"hypothetical protein"	"99"	"0"	"0.00370430608986593"	"0"	"0"	"0"
"131"	"DVU_0123"	""	"hypothetical protein"	"1083"	"0"	"0.0405228635891395"	"0"	"0"	"0"
"132"	"DVU_0124"	""	"hypothetical protein"	"189"	"0"	"0.00707185708065315"	"0"	"0"	"0"
"133"	"DVU_0125"	""	"hypothetical protein"	"1134"	"0"	"0.0424311424839189"	"0"	"0"	"0"
"134"	"DVU_0126"	""	"ABC transporter ATP-binding protein"	"3516"	"0"	"0.131558992040087"	"0"	"0"	"0"
"135"	"DVU_0127"	""	"hypothetical protein"	"1113"	"0"	"0.0416453805860685"	"0"	"0"	"0"
"136"	"DVU_0128"	""	"hypothetical protein"	"1059"	"0"	"0.0396248499915962"	"0"	"0"	"0"
"137"	"DVU_0129"	""	"sensory box protein"	"1359"	"0"	"0.0508500199608869"	"0"	"0"	"0"
"138"	"DVU_0130"	""	"phosphoglycolate phosphatase"	"663"	"0"	"0.0248076256321325"	"0"	"0"	"0"
"139"	"DVU_0131"	""	"hypothetical protein"	"123"	"0"	"0.00460231968740919"	"0"	"0"	"0"
"140"	"DVU_0132"	""	"hypothetical protein"	"1125"	"0"	"0.0420943873848402"	"0"	"0"	"0"
"141"	"DVU_0133"	""	"hypothetical protein"	"723"	"0"	"0.0270526596259906"	"0"	"0"	"0"
"142"	"DVU_0134"	""	"glycosyl transferase group 2 family protein"	"1038"	"0"	"0.0388390880937459"	"0"	"0"	"0"
"143"	"DVU_0135"	""	"hypothetical protein"	"912"	"0"	"0.0341245167066438"	"0"	"0"	"0"
"144"	"DVU_0136"	""	"hypothetical protein"	"219"	"0"	"0.00819437407758222"	"0"	"0"	"0"
"145"	"DVU_0137"	""	"hypothetical protein"	"126"	"0"	"0.0047145713871021"	"0"	"0"	"0"
"146"	"DVU_0138"	""	"response regulator"	"381"	"0"	"0.0142559658609992"	"0"	"0"	"0"
"147"	"DVU_0139"	""	"sensor histidine kinase"	"1713"	"0"	"0.06409572052465"	"0"	"0"	"0"
"148"	"DVU_0140"	""	"response regulator"	"414"	"0"	"0.0154907345576212"	"0"	"0"	"0"
"149"	"DVU_0141"	""	"M50 family peptidase"	"675"	"0"	"0.0252566324309041"	"0"	"0"	"0"
"150"	"DVU_0142"	"trpS"	"tryptophanyl-tRNA synthetase"	"990"	"0"	"0.0370430608986594"	"0"	"0"	"0"
"151"	"DVU_0143"	""	"hypothetical protein"	"777"	"0"	"0.0290731902204629"	"0"	"0"	"0"
"152"	"DVU_0144"	""	"cytidyltransferase-like protein"	"603"	"0"	"0.0225625916382743"	"0"	"0"	"0"
"153"	"DVU_0145"	""	"response regulator"	"408"	"0"	"0.0152662311582354"	"0"	"0"	"0"
"154"	"DVU_0146"	""	"hypothetical protein"	"810"	"0"	"0.0303079589170849"	"0"	"0"	"0"
"155"	"DVU_0147"	""	"lipoprotein"	"261"	"0"	"0.00976589787328292"	"0"	"0"	"0"
"156"	"DVU_0148"	""	"lipoprotein"	"612"	"0"	"0.0228993467373531"	"0"	"0"	"0"
"157"	"DVU_0149"	""	"hypothetical protein"	"1053"	"0"	"0.0394003465922104"	"0"	"0"	"0"
"159"	"DVU_0151"	""	"HAMP domain/sigma-54 interaction domain-containing protein"	"2874"	"0"	"0.107537128305805"	"0"	"0"	"0"
"160"	"DVU_0152"	""	"phosphoenolpyruvate synthase"	"2562"	"0"	"0.0958629515377427"	"0"	"0"	"0"
"161"	"DVU__tRNA-Leu-1"	""	"tRNA-Leu"	"87"	"0"	"0.00325529929109431"	"0"	"0"	"0"
"162"	"DVU_0153"	""	"hypothetical protein"	"384"	"0"	"0.0143682175606921"	"0"	"0"	"0"
"163"	"DVU_0154"	""	"hypothetical protein"	"168"	"0"	"0.0062860951828028"	"0"	"0"	"0"
"164"	"DVU_0155"	""	"type I phosphodiesterase/nucleotide pyrophosphatase"	"1389"	"0"	"0.051972536957816"	"0"	"0"	"0"
"165"	"DVU_0156"	""	"ATP-dependent DNA helicase UvrD"	"2160"	"0"	"0.0808212237788931"	"0"	"0"	"0"
"166"	"DVU_0157"	"thiL"	"thiamin-monophosphate kinase"	"972"	"0"	"0.0363695507005019"	"0"	"0"	"0"
"167"	"DVU_0158"	""	"hypothetical protein"	"999"	"0"	"0.0373798159977381"	"0"	"0"	"0"
"168"	"DVU_0159"	""	"acyl-CoA thioesterase"	"522"	"0"	"0.0195317957465658"	"0"	"0"	"0"
"169"	"DVU_0160"	""	"carbohydrate isomerase KpsF/GutQ family protein"	"996"	"0"	"0.0372675642980452"	"0"	"0"	"0"
"170"	"DVU_0161"	"purF"	"amidophosphoribosyltransferase"	"1389"	"0"	"0.051972536957816"	"0"	"0"	"0"
"171"	"DVU_0162"	"carB"	"carbamoyl-phosphate synthase large subunit"	"3234"	"0"	"0.121007332268954"	"0"	"0"	"0"
